### Instruction ###

You are a helpful assistant helping an LCA practitioner perform name harmonization between elementary flows from different providers.

Identify for each provided source flow if they are present in the target flow list with a different name. The exhaustive list of possible target flows is:

```
name,synonyms
"1,4-butanediol",
1-pentanol,
1-pentene,
2-aminopropanol,
2-methyl pentane,
2-methyl-1-propanol,
2-methyl-2-butene,
2-nitrobenzoic acid,
2-propanol,
3-methyl-1-butanol,isopentyl alcohol; isoamyl alcohol
4-methyl-2-pentanone,
acenaphthene,
acetaldehyde,
acetic acid,
"acetic acid, trifluoro-",trifluoressigsaeure; tfa
acetone,
acetonitrile,
acrolein,
acrylic acid,
"actinides, radioactive, unspecified",
"aerosols, radioactive, unspecified",
"aldehydes, unspecified",
aluminium,
americium-241,
ammonia,
ammonium carbonate,
aniline,
anthranilic acid,
antimony,
antimony-124,
antimony-125,
argon-41,
arsenic,
arsine,arsane; monoarsan; arsenwasserstoff; hydrogen arsenide
barium,
barium-140,
benzal chloride,
benzaldehyde,
benzene,
"benzene, dichloro",
"benzene, ethyl-",
"benzene, hexachloro-",
"benzene, pentachloro-",
benzo(a)pyrene,
beryllium,
boric acid,
boron,
boron carbide,
boron trifluoride,
bromine,
butadiene,"pyrrolylene; vinyl ethylene; biethylene; buta-1,3-diene; 1,3-butadiene"
butane,
butanol,
butene,
butyrolactone,
cadmium,
calcium,
"carbon dioxide, fossil",
"carbon dioxide, non-fossil",
carbon disulfide,sulfocarbonic anhydride; dithiocarbonic anhydride; carbon bisulfide
"carbon monoxide, fossil",
"carbon monoxide, non-fossil",
carbon-14,
cerium-141,
cerium-144,
cesium-134,
cesium-137,
chloramine,
chlorine,
chloroacetic acid,
chloroform,
"chlorosilane, trimethyl-",
chlorosulfonic acid,
chromium,
chromium vi,
chromium-51,
cobalt,
cobalt-57,
cobalt-58,
cobalt-60,
copper,
cumene,cumol; isopropylbenzene; methyl ethyl benzene; 2-phenylpropane
curium alpha,
curium-242,
curium-244,
cyanide,
cyanoacetic acid,
cyclohexane,
diborane,
diethyl ether,
diethylamine,
diethylene glycol,
dimethyl malonate,
dimethylamine,
dinitrogen monoxide,
"dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",
dipropylamine,
epichlorohydrin,
ethane,
ethane thiol,ethyl mercaptan; ethyl sulfhydrate; mercaptoethane; ethyl hydrosulfide
"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",
"ethane, 1,1,1-trichloro-, hcfc-140",
"ethane, 1,1,1-trifluoro-, hfc-143a",
"ethane, 1,1,2-trichloro-",
"ethane, 1,1,2-trichloro-1,2,2-trifluoro-, cfc-113",
"ethane, 1,1-dichloro-1-fluoro-, hcfc-141b",
"ethane, 1,1-difluoro-, hfc-152a",
"ethane, 1,2-dichloro-",ethylendichlorid; ethylene dichloride
"ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, cfc-114",
"ethane, 1-chloro-1,1-difluoro-, hcfc-142b",
"ethane, 2,2-dichloro-1,1,1-trifluoro-, hcfc-123",
"ethane, 2-chloro-1,1,1,2-tetrafluoro-, hcfc-124",
"ethane, chloropentafluoro-, cfc-115",
"ethane, hexafluoro-, hfc-116",
"ethane, pentafluoro-, hfc-125",
ethanol,
ethene,
"ethene, chloro-",
"ethene, tetrachloro-",
"ethene, trichloro-",
ethyl acetate,
ethyl cellulose,
ethylamine,
ethylene diamine,
ethylene glycol monoethyl ether,
ethylene oxide,
ethyne,
fluorine,
fluosilicic acid,
formaldehyde,
formamide,
formic acid,
furan,"oxacyclopentadiene; furfuran; 1,4-epoxy-1,3-butadiene; oxole; axole; divinylene oxide; tetrole"
"heat, waste",
helium,
heptane,
hexamethyldisilizane,
hexane,
"hydrocarbons, aliphatic, alkanes, cyclic",
"hydrocarbons, aliphatic, alkanes, unspecified",
"hydrocarbons, aliphatic, unsaturated",
"hydrocarbons, aromatic",
"hydrocarbons, chlorinated",
hydrogen,
hydrogen chloride,
hydrogen fluoride,
hydrogen peroxide,
hydrogen sulfide,
"hydrogen-3, tritium",
iodine,
iodine-129,
iodine-131,
iodine-133,
iodine-135,
iron,
iron-59,
isocyanic acid,
isoprene,"methyl bivinyl; 2-methylbutadiene; beta-methylbivinyl; hemiterpene; isopentadiene; 2-methylbuta-1,3-diene; 2-methyl-1,3-butadiene; isoprene, stabilized with 100 ppm 4-tert-butylcatechol; isoprene; 3-methyl-1,3-butadiene"
isopropylamine,
krypton-85,
krypton-85m,
krypton-87,
krypton-88,
krypton-89,
lactic acid,
lanthanum,
lanthanum-140,
lead,
lead-210,
lithium carbonate,
magnesium,
manganese,
manganese-54,
mercury,
"methane, bromo-, halon 1001",
"methane, bromochlorodifluoro-, halon 1211",
"methane, bromotrifluoro-, halon 1301",
"methane, chlorodifluoro-, hcfc-22",
"methane, chloro-fluoro-, hcfc-31",
"methane, chlorotrifluoro-, cfc-13",
"methane, dichloro-, hcc-30",
"methane, dichlorodifluoro-, cfc-12",
"methane, dichlorofluoro-, hcfc-21",
"methane, difluoro-, hfc-32",
"methane, fossil",
"methane, monochloro-, r-40",monochloromethane; methyl chloride; chloromethane; methyl chloride
"methane, non-fossil",
"methane, tetrachloro-, r-10",freon 10; tetrachlormethan
"methane, tetrafluoro-, r-14",
"methane, trichlorofluoro-, cfc-11",
"methane, trifluoro-, hfc-23",
methanesulfonic acid,
methanol,
methyl acetate,
methyl acrylate,
methyl amine,
methyl borate,
methyl ethyl ketone,
methyl formate,
methyl lactate,
molybdenum,
monochloroethane,
monoethanolamine,
m-xylene,
n-bromoacetamide,
neptunium-237,
nickel,
niobium-95,
nitrate,
nitrobenzene,
nitrogen fluoride,trifluoramine; nitrogen trifluoride
nitrogen oxides,
"nmvoc, non-methane volatile organic compounds, unspecified origin",
"noble gases, radioactive, unspecified",
o-nitrotoluene,
o-xylene,
ozone,
"pah, polycyclic aromatic hydrocarbons",
paraffins,
"particulates, < 2.5 um",
"particulates, > 10 um",
"particulates, > 2.5 um, and < 10um",
pentane,
phenol,
"phenol, 2,4-dichloro",
"phenol, pentachloro-",
phosphine,phosphorated hydrogen; hydrogen phosphide
phosphoric acid,
phosphorus,
phosphorus trichloride,
platinum,
plutonium-238,
plutonium-241,
plutonium-alpha,
polonium-210,
polychlorinated biphenyls,
potassium,
potassium chloride,
potassium hydroxide,
potassium-40,
promethium-147,
propanal,
propane,
propanol,
propene,
propionic acid,
propylamine,
propylene oxide,
protactinium-234,
"radiation, electromagnetic",
